app,device,"initating_process_folder_path","local_ip","local_port","remote_ip","remote_port","remote_url"
"netbios-ssn","espwl16d01156.sp.securitasdirect.local","*","*",139,"*","*","*"
"ftp-data",d9drd342,"*","*","*","177.153.18.190/32","*","*"
"*","*","*","*","*","255.255.255.255/32",137,"*"
"netbios-ns","*","*","*","*","224.0.0.252/32","*","*"
"netbios-ns","*","*","*","*","224.0.0.0/4","*","*"
"*","*","*","*","*","51.159.35.152",21,"*"
"*","*","*","*","*","159.180.240.230",21,"*"
"*","*","*","*","*","179.188.38.87",21,"*"
"*","*","*","*","*","91.201.62.4",21,"*"
"*","id05198.fr.securitasdirect.local","*","10.38.156.208","*","159.180.240.230",21,"*"
